Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.62     0.00  1801740     0.00     0.00  unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
  0.00      5.62     0.00  1801740     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      5.62     0.00  1801740     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&)
  0.00      5.62     0.00  1800000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00      5.62     0.00  1800000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  0.00      5.62     0.00  1800000     0.00     0.00  std::_List_node<int>::_M_valptr() const
  0.00      5.62     0.00  1800000     0.00     0.00  std::_List_const_iterator<int>::operator*() const
  0.00      5.62     0.00  1800000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_back(int const&)
  0.00      5.62     0.00   900849     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const>::_Iter_equals_val(int const&)
  0.00      5.62     0.00   900849     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const> __gnu_cxx::__ops::__iter_equals_val<int const>(int const&)
  0.00      5.62     0.00   900849     0.00     0.00  std::_List_iterator<int> std::find<std::_List_iterator<int>, int>(std::_List_iterator<int>, std::_List_iterator<int>, int const&)
  0.00      5.62     0.00   900849     0.00     0.00  std::_List_iterator<int> std::__find_if<std::_List_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const> >(std::_List_iterator<int>, std::_List_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const>)
  0.00      5.62     0.00   900000     0.00     0.00  Graph::addEdge(int, int)
  0.00      5.62     0.00   120000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >* std::__addressof<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >&)
  0.00      5.62     0.00    90000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      5.62     0.00    90000     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      5.62     0.00    60002     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >::base() const
  0.00      5.62     0.00    60000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<int> > const&)
  0.00      5.62     0.00    60000     0.00     0.00  std::allocator<std::_List_node<int> >::allocator(std::allocator<std::_List_node<int> > const&)
  0.00      5.62     0.00    60000     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      5.62     0.00    60000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      5.62     0.00    60000     0.00     0.01  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      5.62     0.00    60000     0.00     0.01  std::__cxx11::list<int, std::allocator<int> >::~list()
  0.00      5.62     0.00    60000     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      5.62     0.00    60000     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      5.62     0.00    60000     0.00     0.00  std::remove_reference<std::allocator<std::_List_node<int> >&>::type&& std::move<std::allocator<std::_List_node<int> >&>(std::allocator<std::_List_node<int> >&)
  0.00      5.62     0.00    60000     0.00     0.01  void std::_Destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*)
