Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00   60000/60000       std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl() [104]
-----------------------------------------------
                0.00    0.42   60000/60000       void std::_Destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*) [13]
[12]     7.4    0.00    0.42   60000         std::__cxx11::list<int, std::allocator<int> >::~list() [12]
                0.00    0.42   60000/60000       std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base() [11]
-----------------------------------------------
                0.00    0.42   60000/60000       void std::_Destroy_aux<false>::__destroy<std::__cxx11::list<int, std::allocator<int> >*>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*) [15]
[13]     7.4    0.00    0.42   60000         void std::_Destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*) [13]
                0.00    0.42   60000/60000       std::__cxx11::list<int, std::allocator<int> >::~list() [12]
-----------------------------------------------
                0.00    0.42       2/2           main [1]
[14]     7.4    0.00    0.42       2         Graph::~Graph() [14]
                0.00    0.42       2/2           std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::~vector() [16]
-----------------------------------------------
                0.00    0.42       2/2           void std::_Destroy<std::__cxx11::list<int, std::allocator<int> >*>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*) [17]
[15]     7.4    0.00    0.42       2         void std::_Destroy_aux<false>::__destroy<std::__cxx11::list<int, std::allocator<int> >*>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*) [15]
                0.00    0.42   60000/60000       void std::_Destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*) [13]
                0.00    0.00   60000/120000      std::__cxx11::list<int, std::allocator<int> >* std::__addressof<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >&) [97]
-----------------------------------------------
                0.00    0.42       2/2           Graph::~Graph() [14]
[16]     7.4    0.00    0.42       2         std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::~vector() [16]
                0.00    0.42       2/2           void std::_Destroy<std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*, std::allocator<std::__cxx11::list<int, std::allocator<int> > >&) [18]
                0.00    0.00       2/5           std::_Vector_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_get_Tp_allocator() [133]
                0.00    0.00       2/2           std::_Vector_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::~_Vector_base() [156]
-----------------------------------------------
                0.00    0.42       2/2           void std::_Destroy<std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*, std::allocator<std::__cxx11::list<int, std::allocator<int> > >&) [18]
[17]     7.4    0.00    0.42       2         void std::_Destroy<std::__cxx11::list<int, std::allocator<int> >*>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*) [17]
                0.00    0.42       2/2           void std::_Destroy_aux<false>::__destroy<std::__cxx11::list<int, std::allocator<int> >*>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*) [15]
-----------------------------------------------
                0.00    0.42       2/2           std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::~vector() [16]
[18]     7.4    0.00    0.42       2         void std::_Destroy<std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*, std::allocator<std::__cxx11::list<int, std::allocator<int> > >&) [18]
                0.00    0.42       2/2           void std::_Destroy<std::__cxx11::list<int, std::allocator<int> >*>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> >*) [17]
-----------------------------------------------
                0.01    0.34 3600000/3600000     std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [9]
[19]     6.2    0.01    0.34 3600000         void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&) [19]
                0.33    0.01 3600000/3600000     void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&) [28]
                0.01    0.00 3600000/16200000     int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [39]
-----------------------------------------------
                0.01    0.33   30000/30000       std::__cxx11::list<int, std::allocator<int> >::list(std::__cxx11::list<int, std::allocator<int> > const&) [21]
[20]     6.1    0.01    0.33   30000         void std::__cxx11::list<int, std::allocator<int> >::_M_initialize_dispatch<std::_List_const_iterator<int> >(std::_List_const_iterator<int>, std::_List_const_iterator<int>, std::__false_type) [20]
                0.01    0.24 1800000/1800000     void std::__cxx11::list<int, std::allocator<int> >::emplace_back<int const&>(int const&) [29]
                0.07    0.00 1800000/1800000     std::_List_const_iterator<int>::operator++() [36]
                0.01    0.00 1830000/1830000     std::operator!=(std::_List_const_iterator<int> const&, std::_List_const_iterator<int> const&) [54]
                0.00    0.00 1800000/1800000     std::_List_const_iterator<int>::operator*() const [94]
-----------------------------------------------
                0.00    0.34   30000/30000       void std::_Construct<std::__cxx11::list<int, std::allocator<int> >, std::__cxx11::list<int, std::allocator<int> > const&>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> > const&) [22]
[21]     6.1    0.00    0.34   30000         std::__cxx11::list<int, std::allocator<int> >::list(std::__cxx11::list<int, std::allocator<int> > const&) [21]
                0.01    0.33   30000/30000       void std::__cxx11::list<int, std::allocator<int> >::_M_initialize_dispatch<std::_List_const_iterator<int> >(std::_List_const_iterator<int>, std::_List_const_iterator<int>, std::__false_type) [20]
                0.00    0.00   30000/30000       std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() const [114]
                0.00    0.00   30000/30000       __gnu_cxx::__alloc_traits<std::allocator<std::_List_node<int> >, std::_List_node<int> >::_S_select_on_copy(std::allocator<std::_List_node<int> > const&) [111]
                0.00    0.00   30000/30000       std::__cxx11::_List_base<int, std::allocator<int> >::_List_base(std::allocator<std::_List_node<int> >&&) [121]
                0.00    0.00   30000/90000       std::allocator<std::_List_node<int> >::~allocator() [99]
                0.00    0.00   30000/30000       std::__cxx11::list<int, std::allocator<int> >::end() const [115]
                0.00    0.00   30000/30000       std::__cxx11::list<int, std::allocator<int> >::begin() const [116]
-----------------------------------------------
                0.00    0.34   30000/30000       std::__cxx11::list<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*) [24]
[22]     6.1    0.00    0.34   30000         void std::_Construct<std::__cxx11::list<int, std::allocator<int> >, std::__cxx11::list<int, std::allocator<int> > const&>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> > const&) [22]
                0.00    0.34   30000/30000       std::__cxx11::list<int, std::allocator<int> >::list(std::__cxx11::list<int, std::allocator<int> > const&) [21]
                0.00    0.00   30000/30000       std::__cxx11::list<int, std::allocator<int> > const& std::forward<std::__cxx11::list<int, std::allocator<int> > const&>(std::remove_reference<std::__cxx11::list<int, std::allocator<int> > const&>::type&) [125]
                0.00    0.00   30000/3660000     operator new(unsigned long, void*) [81]
-----------------------------------------------
                0.00    0.34       1/1           main [1]
[23]     6.1    0.00    0.34       1         Graph::Graph(Graph const&) [23]
                0.00    0.34       1/1           std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::vector(std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > const&) [25]
-----------------------------------------------
                0.00    0.34       1/1           std::__cxx11::list<int, std::allocator<int> >* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*) [26]
[24]     6.1    0.00    0.34       1         std::__cxx11::list<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*) [24]
                0.00    0.34   30000/30000       void std::_Construct<std::__cxx11::list<int, std::allocator<int> >, std::__cxx11::list<int, std::allocator<int> > const&>(std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> > const&) [22]
                0.00    0.00   30001/30001       bool __gnu_cxx::operator!=<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > > const&) [109]
                0.00    0.00   30000/30000       __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >::operator*() const [113]
                0.00    0.00   30000/120000      std::__cxx11::list<int, std::allocator<int> >* std::__addressof<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >&) [97]
                0.00    0.00   30000/30000       __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >::operator++() [112]
-----------------------------------------------
                0.00    0.34       1/1           Graph::Graph(Graph const&) [23]
[25]     6.1    0.00    0.34       1         std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::vector(std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > const&) [25]
                0.00    0.34       1/1           std::__cxx11::list<int, std::allocator<int> >* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*, std::allocator<std::__cxx11::list<int, std::allocator<int> > >&) [27]
                0.00    0.00       1/5           std::_Vector_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_get_Tp_allocator() const [132]
                0.00    0.00       1/1           __gnu_cxx::__alloc_traits<std::allocator<std::__cxx11::list<int, std::allocator<int> > >, std::__cxx11::list<int, std::allocator<int> > >::_S_select_on_copy(std::allocator<std::__cxx11::list<int, std::allocator<int> > > const&) [172]
                0.00    0.00       1/30009       std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::size() const [108]
                0.00    0.00       1/1           std::_Vector_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_Vector_base(unsigned long, std::allocator<std::__cxx11::list<int, std::allocator<int> > > const&) [189]
                0.00    0.00       1/3           std::allocator<std::__cxx11::list<int, std::allocator<int> > >::~allocator() [140]
                0.00    0.00       1/5           std::_Vector_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_get_Tp_allocator() [133]
                0.00    0.00       1/1           std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::end() const [177]
                0.00    0.00       1/1           std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::begin() const [178]
-----------------------------------------------
                0.00    0.34       1/1           std::__cxx11::list<int, std::allocator<int> >* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*, std::allocator<std::__cxx11::list<int, std::allocator<int> > >&) [27]
[26]     6.1    0.00    0.34       1         std::__cxx11::list<int, std::allocator<int> >* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*) [26]
                0.00    0.34       1/1           std::__cxx11::list<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*) [24]
-----------------------------------------------
                0.00    0.34       1/1           std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::vector(std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > const&) [25]
[27]     6.1    0.00    0.34       1         std::__cxx11::list<int, std::allocator<int> >* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*, std::__cxx11::list<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*, std::allocator<std::__cxx11::list<int, std::allocator<int> > >&) [27]
                0.00    0.34       1/1           std::__cxx11::list<int, std::allocator<int> >* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::list<int, std::allocator<int> > const*, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > > >, std::__cxx11::list<int, std::allocator<int> >*) [26]
-----------------------------------------------
                0.33    0.01 3600000/3600000     void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&) [19]
[28]     6.0    0.33    0.01 3600000         void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&) [28]
                0.01    0.00 3600000/16200000     int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [39]
                0.00    0.00 3600000/3660000     operator new(unsigned long, void*) [81]
-----------------------------------------------
                0.01    0.24 1800000/1800000     void std::__cxx11::list<int, std::allocator<int> >::_M_initialize_dispatch<std::_List_const_iterator<int> >(std::_List_const_iterator<int>, std::_List_const_iterator<int>, std::__false_type) [20]
[29]     4.5    0.01    0.24 1800000         void std::__cxx11::list<int, std::allocator<int> >::emplace_back<int const&>(int const&) [29]
                0.01    0.23 1800000/3600000     void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&) [7]
                0.00    0.00 1800000/16200000     int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [39]
                0.00    0.00 1800000/5431698     std::__cxx11::list<int, std::allocator<int> >::end() [57]
-----------------------------------------------
                0.00    0.24  900000/900000      main [1]
[30]     4.3    0.00    0.24  900000         Graph::addEdge(int, int) [30]
                0.00    0.24 1800000/1800000     std::__cxx11::list<int, std::allocator<int> >::push_back(int const&) [31]
                0.00    0.00 1800000/4532548     std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long) [47]
-----------------------------------------------
                0.00    0.24 1800000/1800000     Graph::addEdge(int, int) [30]
[31]     4.2    0.00    0.24 1800000         std::__cxx11::list<int, std::allocator<int> >::push_back(int const&) [31]
                0.01    0.23 1800000/3600000     void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&) [7]
                0.00    0.00 1800000/5431698     std::__cxx11::list<int, std::allocator<int> >::end() [57]
-----------------------------------------------
                0.00    0.01 3600000/36014778     std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [9]
                0.00    0.01 3600000/36014778     std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear() [10]
                0.03    0.06 28814778/36014778     std::_List_iterator<int>::operator*() const [34]
[32]     2.0    0.04    0.08 36014778         std::_List_node<int>::_M_valptr() [32]
                0.05    0.03 36014778/36014778     __gnu_cxx::__aligned_membuf<int>::_M_ptr() [35]
-----------------------------------------------
                0.00    0.00   30000/930849      Graph::printGraph() [6]
                0.10    0.00  900849/930849      main [1]
[33]     1.8    0.10    0.00  930849         std::__cxx11::list<int, std::allocator<int> >::begin() [33]
                0.00    0.00  930849/6362547     std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*) [80]
-----------------------------------------------
                0.00    0.01 1800000/28814778     Graph::printGraph() [6]
                0.00    0.09 27014778/28814778     bool __gnu_cxx::__ops::_Iter_equals_val<int const>::operator()<std::_List_iterator<int> >(std::_List_iterator<int>) [5]
[34]     1.6    0.00    0.09 28814778         std::_List_iterator<int>::operator*() const [34]
                0.03    0.06 28814778/36014778     std::_List_node<int>::_M_valptr() [32]
-----------------------------------------------
                0.05    0.03 36014778/36014778     std::_List_node<int>::_M_valptr() [32]
[35]     1.4    0.05    0.03 36014778         __gnu_cxx::__aligned_membuf<int>::_M_ptr() [35]
                0.03    0.00 36014778/36014778     __gnu_cxx::__aligned_membuf<int>::_M_addr() [38]
-----------------------------------------------
                0.07    0.00 1800000/1800000     void std::__cxx11::list<int, std::allocator<int> >::_M_initialize_dispatch<std::_List_const_iterator<int> >(std::_List_const_iterator<int>, std::_List_const_iterator<int>, std::__false_type) [20]
[36]     1.2    0.07    0.00 1800000         std::_List_const_iterator<int>::operator++() [36]
-----------------------------------------------
                0.03    0.02 3600000/3600000     std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear() [10]
[37]     0.9    0.03    0.02 3600000         std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*) [37]
                0.01    0.01 3600000/3600000     std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long) [40]
-----------------------------------------------
                0.03    0.00 36014778/36014778     __gnu_cxx::__aligned_membuf<int>::_M_ptr() [35]
[38]     0.5    0.03    0.00 36014778         __gnu_cxx::__aligned_membuf<int>::_M_addr() [38]
-----------------------------------------------
                0.00    0.00 1800000/16200000     void std::__cxx11::list<int, std::allocator<int> >::emplace_back<int const&>(int const&) [29]
                0.01    0.00 3600000/16200000     void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&) [7]
                0.01    0.00 3600000/16200000     std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [9]
                0.01    0.00 3600000/16200000     void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&) [19]
                0.01    0.00 3600000/16200000     void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&) [28]
[39]     0.4    0.03    0.00 16200000         int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [39]
-----------------------------------------------
                0.01    0.01 3600000/3600000     std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*) [37]
[40]     0.4    0.01    0.01 3600000         std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long) [40]
                0.01    0.00 3600000/3600000     __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long) [48]
-----------------------------------------------
                0.01    0.01 3600000/3600000     std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear() [10]
[41]     0.4    0.01    0.01 3600000         void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*) [41]
                0.01    0.00 3600000/3600000     void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*) [49]
-----------------------------------------------
                0.01    0.01 3600000/3600000     std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [9]
[42]     0.4    0.01    0.01 3600000         std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node() [42]
                0.01    0.00 3600000/3600000     std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long) [53]
-----------------------------------------------
                0.02    0.00 3600000/3600000     void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&) [7]
[43]     0.4    0.02    0.00 3600000         std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long) [43]
-----------------------------------------------
                0.00    0.00       1/2702548     algo::isEulerianCycle(Graph&) [65]
                0.02    0.00 2702547/2702548     main [1]
[44]     0.4    0.02    0.00 2702548         Graph::getAdjList[abi:cxx11]() [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.4    0.02    0.00                 _init [45]
-----------------------------------------------
                0.01    0.00 3600000/7200000     std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [9]
                0.01    0.00 3600000/7200000     std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear() [10]
[46]     0.2    0.01    0.00 7200000         std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() [46]
-----------------------------------------------
                0.00    0.00       1/4532548     algo::isEulerianCycle(Graph&) [65]
                0.00    0.00   30000/4532548     Graph::printGraph() [6]
                0.00    0.00 1800000/4532548     Graph::addEdge(int, int) [30]
                0.01    0.00 2702547/4532548     main [1]
[47]     0.2    0.01    0.00 4532548         std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long) [47]
-----------------------------------------------
                0.01    0.00 3600000/3600000     std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long) [40]
[48]     0.2    0.01    0.00 3600000         __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long) [48]
-----------------------------------------------
                0.01    0.00 3600000/3600000     void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*) [41]
